,symbols,price,200_MA,150_MA,50_MA,200_MA_1month_ago,150_MA_1month_ago,200_MA_2month_ago,150_MA_2month_ago,52_Week_Low,52_Week_High,Rel_Strength,Above_30%_Low,Within_25%_High,RS_Rank,Rule1,Rule2,Rule3,Rule4,Rule5,Rule6,Rule7,Rule8
313,MET,64.71,49.60505,53.34499999999999,62.694199999999974,45.72185000000001,48.33073333333334,,43.93186666666667,33.34,67.16,138.1941937153611,43.34200000000001,50.37,0.8317757009345794,True,True,True,True,True,True,True,True
320,MHK,207.21,145.3199000000001,161.7047333333334,203.07839999999996,127.15834999999998,140.15326666666678,,120.10146666666678,70.47,229.74,177.09143955786485,91.611,172.305,0.9595015576323987,True,True,True,True,True,True,True,True
326,MS,88.34,66.46225000000003,71.84393333333342,82.14639999999997,61.59035000000002,65.26806666666674,,59.34346666666671,40.13,88.34,156.7372516402715,52.169,66.255,0.9221183800623052,True,True,True,True,True,True,True,True
327,MOS,35.46,25.107499999999995,27.355200000000004,33.5484,21.9827,24.230133333333345,,21.2706,11.55,37.06,218.40616302886497,15.015,27.795,0.9875389408099688,True,True,True,True,True,True,True,True
333,NWL,28.3,22.053799999999992,23.72620000000001,27.13280000000001,20.401825,21.734466666666666,,19.905066666666666,12.78,29.34,157.6665532954479,16.614,22.005,0.9252336448598132,True,True,True,True,True,True,True,True
335,NWSA,26.49,19.676374999999997,21.326466666666665,26.444599999999994,17.626149999999996,19.000466666666664,,16.72989999999999,11.38,27.64,163.7244240131103,14.794000000000002,20.73,0.9314641744548288,True,True,True,True,True,True,True,True
336,NWS,25.25,19.091,20.55613333333333,24.6133,17.311,18.572866666666666,,16.613566666666664,11.44,25.69,154.5843982623061,14.872,19.2675,0.9065420560747663,True,True,True,True,True,True,True,True
338,NLSN,27.15,20.040950000000006,21.76033333333333,26.05540000000001,18.36290000000001,19.44746666666667,,17.415333333333336,13.42,28.1,142.24413519292818,17.445999999999998,21.075000000000006,0.8566978193146417,True,True,True,True,True,True,True,True
348,NUE,102.13,59.74914999999998,64.19633333333333,83.47520000000007,52.8116,55.96206666666667,,50.5747333333333,38.8,106.32,184.18751134488556,50.44,79.74,0.968847352024922,True,True,True,True,True,True,True,True
351,NXPI,199.84,162.83319999999995,174.91526666666655,198.13640000000007,151.51440000000005,161.8364666666666,,147.38213333333331,96.1,214.7,144.70394588029504,124.93,161.02499999999995,0.8722741433021807,True,True,True,True,True,True,True,True
384,PRU,106.9,80.45995000000008,84.84926666666675,97.8796000000001,74.73675000000007,77.94440000000007,,73.08720000000008,56.28,107.96,135.24076181076043,73.164,80.97,0.8130841121495327,True,True,True,True,True,True,True,True
389,PVH,109.25,85.90144999999997,94.4322,107.99719999999986,76.76140000000002,85.4576,,75.32493333333336,42.51,118.67,176.18735255205613,55.263000000000005,89.0025,0.956386292834891,True,True,True,True,True,True,True,True
395,RJF,133.5,99.55035,107.79359999999994,127.7782,90.63010000000004,96.76339999999998,,87.3187333333333,64.78,136.64,145.76426179186382,84.214,102.48,0.881619937694704,True,True,True,True,True,True,True,True
400,RF,22.76,16.738100000000006,18.412066666666668,21.466400000000018,15.119650000000005,16.48293333333333,,14.543533333333325,9.83,23.4,162.86702709091801,12.779000000000002,17.549999999999994,0.9283489096573208,True,True,True,True,True,True,True,True
